Started cpid: 0 Current pid: 6191
PING ext-cust.squarespace.com (198.49.23.145) 56(84) bytes of data.
64 bytes from 198.49.23.145: icmp_seq=264 ttl=244 time=49.1 ms
64 bytes from 198.49.23.145: icmp_seq=265 ttl=244 time=48.4 ms
64 bytes from 198.49.23.145: icmp_seq=266 ttl=244 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=267 ttl=245 time=48.3 ms
64 bytes from 198.49.23.145: icmp_seq=268 ttl=245 time=52.5 ms
64 bytes from 198.49.23.145: icmp_seq=269 ttl=244 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=270 ttl=244 time=48.8 ms
64 bytes from 198.49.23.145: icmp_seq=271 ttl=244 time=51.6 ms
64 bytes from 198.49.23.145: icmp_seq=272 ttl=245 time=48.2 ms
64 bytes from 198.49.23.145: icmp_seq=273 ttl=244 time=48.9 ms
64 bytes from 198.49.23.145: icmp_seq=274 ttl=245 time=59.8 ms
64 bytes from 198.49.23.145: icmp_seq=275 ttl=244 time=63.7 ms
64 bytes from 198.49.23.145: icmp_seq=276 ttl=244 time=44.8 ms
64 bytes from 198.49.23.145: icmp_seq=277 ttl=244 time=51.3 ms
64 bytes from 198.49.23.145: icmp_seq=278 ttl=244 time=44.5 ms
64 bytes from 198.49.23.145: icmp_seq=279 ttl=245 time=53.5 ms
64 bytes from 198.49.23.145: icmp_seq=280 ttl=245 time=58.2 ms
64 bytes from 198.49.23.145: icmp_seq=281 ttl=244 time=50.5 ms
64 bytes from 198.49.23.145: icmp_seq=282 ttl=244 time=45.0 ms
64 bytes from 198.49.23.145: icmp_seq=283 ttl=244 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=284 ttl=245 time=51.8 ms
64 bytes from 198.49.23.145: icmp_seq=285 ttl=244 time=50.4 ms
64 bytes from 198.49.23.145: icmp_seq=286 ttl=245 time=49.9 ms
64 bytes from 198.49.23.145: icmp_seq=287 ttl=245 time=46.7 ms
64 bytes from 198.49.23.145: icmp_seq=288 ttl=245 time=55.5 ms
64 bytes from 198.49.23.145: icmp_seq=289 ttl=244 time=60.9 ms
64 bytes from 198.49.23.145: icmp_seq=290 ttl=244 time=66.4 ms
64 bytes from 198.49.23.145: icmp_seq=291 ttl=244 time=46.6 ms
64 bytes from 198.49.23.145: icmp_seq=292 ttl=245 time=49.9 ms
64 bytes from 198.49.23.145: icmp_seq=293 ttl=245 time=44.1 ms
64 bytes from 198.49.23.145: icmp_seq=294 ttl=244 time=52.9 ms
64 bytes from 198.49.23.145: icmp_seq=295 ttl=245 time=46.4 ms
64 bytes from 198.49.23.145: icmp_seq=296 ttl=244 time=50.7 ms
64 bytes from 198.49.23.145: icmp_seq=297 ttl=244 time=49.5 ms
64 bytes from 198.49.23.145: icmp_seq=298 ttl=245 time=53.0 ms
64 bytes from 198.49.23.145: icmp_seq=299 ttl=244 time=49.4 ms
64 bytes from 198.49.23.145: icmp_seq=300 ttl=245 time=50.8 ms
64 bytes from 198.49.23.145: icmp_seq=301 ttl=244 time=52.7 ms
64 bytes from 198.49.23.145: icmp_seq=302 ttl=244 time=49.3 ms
64 bytes from 198.49.23.145: icmp_seq=303 ttl=244 time=57.6 ms
64 bytes from 198.49.23.145: icmp_seq=304 ttl=244 time=42.5 ms
64 bytes from 198.49.23.145: icmp_seq=305 ttl=244 time=44.7 ms
64 bytes from 198.49.23.145: icmp_seq=306 ttl=245 time=48.1 ms
64 bytes from 198.49.23.145: icmp_seq=307 ttl=245 time=50.5 ms
64 bytes from 198.49.23.145: icmp_seq=308 ttl=245 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=309 ttl=244 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=310 ttl=245 time=47.6 ms
64 bytes from 198.49.23.145: icmp_seq=311 ttl=245 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=312 ttl=245 time=46.5 ms
64 bytes from 198.49.23.145: icmp_seq=313 ttl=245 time=46.1 ms
64 bytes from 198.49.23.145: icmp_seq=314 ttl=244 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=315 ttl=245 time=48.2 ms
64 bytes from 198.49.23.145: icmp_seq=316 ttl=244 time=47.9 ms
64 bytes from 198.49.23.145: icmp_seq=317 ttl=244 time=46.7 ms
64 bytes from 198.49.23.145: icmp_seq=318 ttl=245 time=45.3 ms
64 bytes from 198.49.23.145: icmp_seq=319 ttl=245 time=52.3 ms
64 bytes from 198.49.23.145: icmp_seq=320 ttl=245 time=47.0 ms
64 bytes from 198.49.23.145: icmp_seq=321 ttl=244 time=49.1 ms
64 bytes from 198.49.23.145: icmp_seq=322 ttl=245 time=47.9 ms
64 bytes from 198.49.23.145: icmp_seq=323 ttl=245 time=54.7 ms
64 bytes from 198.49.23.145: icmp_seq=324 ttl=245 time=45.6 ms
64 bytes from 198.49.23.145: icmp_seq=325 ttl=244 time=45.0 ms
64 bytes from 198.49.23.145: icmp_seq=326 ttl=245 time=50.6 ms
64 bytes from 198.49.23.145: icmp_seq=327 ttl=245 time=85.1 ms
64 bytes from 198.49.23.145: icmp_seq=328 ttl=245 time=46.1 ms
64 bytes from 198.49.23.145: icmp_seq=329 ttl=245 time=47.7 ms
64 bytes from 198.49.23.145: icmp_seq=330 ttl=245 time=50.5 ms
64 bytes from 198.49.23.145: icmp_seq=331 ttl=245 time=45.1 ms
64 bytes from 198.49.23.145: icmp_seq=332 ttl=244 time=52.4 ms
64 bytes from 198.49.23.145: icmp_seq=333 ttl=244 time=52.5 ms
64 bytes from 198.49.23.145: icmp_seq=334 ttl=245 time=44.3 ms
64 bytes from 198.49.23.145: icmp_seq=335 ttl=244 time=47.5 ms
